Nona,000001,180,112200
Lauralee,000002,400,112201
Melvin,000003,400,112202
Jeffie,000004,250,112203
Jeannie,000005,154,112204
Rosamond,000006,320,112205
Branden,000007,250,112206
Gilbert,000008,40,112207
Anastasia,000009,650,112208
Sammie,000010,520,112209
Taryn,000011,660,112210
Gabriella,000012,770,112211
Tina,000013,210,112212
Danyel,000014,70,112213
Arnette,000015,560,112214
Clint,000016,780,112215
Kary,000017,980,112216
Tenisha,000018,50,112217
Marisol,000019,260,112218
Nelle,000020,20,112219
